Event,TOC [%],Mangrove h [m]
MD-1,22.1,3.1875
MD-1,3.34,3.1875
MD-1,32.84,3.1875
MD-1,1.99,3.1875
MD-1,1.92,3.1875
MD-1,6.36,3.1875
MD-1,2.15,3.1875
MD-1,4.06,3.1875
MD-1,3.24,3.1875
MD-1,3.21,3.1875
MD-1,3.29,3.1875
MD-1,5.09,3.1875
MD-1,1.05,3.1875
MD-1,2.06,3.1875
MD-1,1.97,3.1875
MD-3,40.04,3.9375
MD-3,41.84,3.9375
MD-3,30.63,3.9375
MD-3,39.65,3.9375
MD-3,41.36,3.9375
MD-3,15.47,3.9375
MD-3,16.25,3.9375
MD-3,4.64,3.9375
MD-3,3.32,3.9375
MD-3,4.06,3.9375
MD-3,7.82,3.9375
MD-3,16.82,3.9375
MD-3,9.27,3.9375
